@relation bank-data-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R1-precision6-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R4-precision6

@attribute age {1,2,3}
@attribute sex {FEMALE,MALE}
@attribute region {INNER_CITY,TOWN,RURAL,SUBURBAN}
@attribute income {1,2,3}
@attribute married {NO,YES}
@attribute children {0,1,2,3}
@attribute car {NO,YES}
@attribute save_act {NO,YES}
@attribute current_act {NO,YES}
@attribute mortgage {NO,YES}
@attribute pep {YES,NO}

@data
2,FEMALE,INNER_CITY,1,NO,1,NO,NO,NO,NO,YES
2,MALE,TOWN,2,YES,3,YES,NO,YES,YES,NO
3,FEMALE,INNER_CITY,1,YES,0,YES,YES,YES,NO,NO
1,FEMALE,TOWN,1,YES,3,NO,NO,YES,NO,NO
3,FEMALE,RURAL,3,YES,0,NO,YES,NO,NO,NO
3,FEMALE,TOWN,2,YES,2,NO,YES,YES,NO,YES
1,MALE,RURAL,1,NO,0,NO,NO,YES,NO,YES
3,MALE,TOWN,2,YES,0,YES,YES,YES,NO,NO
2,FEMALE,SUBURBAN,2,YES,2,YES,NO,NO,NO,NO
3,MALE,TOWN,1,YES,2,YES,YES,YES,NO,NO
3,FEMALE,TOWN,3,YES,0,NO,YES,YES,NO,NO
3,FEMALE,INNER_CITY,2,NO,0,YES,YES,YES,YES,NO
2,FEMALE,TOWN,1,YES,1,NO,YES,YES,YES,YES
3,FEMALE,TOWN,3,YES,1,YES,YES,YES,YES,YES
2,MALE,RURAL,1,YES,0,NO,YES,YES,YES,NO
2,FEMALE,INNER_CITY,1,YES,0,YES,YES,YES,YES,NO
2,FEMALE,TOWN,1,YES,2,NO,NO,NO,YES,NO
2,FEMALE,SUBURBAN,2,YES,0,NO,YES,NO,YES,NO
3,FEMALE,INNER_CITY,2,YES,0,NO,YES,NO,NO,YES
1,MALE,TOWN,1,YES,0,YES,YES,YES,NO,NO
3,MALE,INNER_CITY,3,YES,2,NO,YES,NO,NO,YES
2,MALE,TOWN,1,YES,2,NO,YES,YES,NO,NO
3,MALE,INNER_CITY,2,YES,0,NO,YES,YES,NO,NO
1,FEMALE,TOWN,1,NO,0,YES,YES,YES,YES,NO
1,MALE,INNER_CITY,1,NO,2,YES,YES,YES,NO,NO
3,MALE,INNER_CITY,2,YES,0,YES,YES,YES,YES,NO
2,MALE,INNER_CITY,1,YES,0,NO,YES,YES,YES,NO
